序号,英文单词,音标,词性,中文含义
59,amusement,/əmˈjuzmənt/,n,娱乐；消遣；娱乐活动
60,amusing,/əmˈjuzɪŋ/,adj,引起乐趣的
61,ancient,/ˈeɪnʧənt/,adj,古代的，古老的
62,and,/ənd/,conj,和；又；而
63,angrily,/ˈæŋgrəli/,adv,生气地；愤怒地
64,angry,/ˈæŋgri/,adj,生气的，愤怒的
65,animal,/ˈænəməl/,n,动物
66,another,/əˈnəðər/,adj / pron,再一；另一；别的；不同的；另一个
67,answer,/ˈænsər/,n / v,回答；答复；答案；回(信)；回答；答复；回(信)
68,any,/ˈɛni/,adj / pron,(用于疑问句、否定句、条件句)一些，什么；任何的，任一的；(无论)哪一个；(无论)哪些
69,anybody/anyone,/ˈɛnibədi/ /ˈɛniˌwən/,pron,任何人，无论谁
70,anything,/ˈɛniˌθɪŋ/,pron,什么事(物)；任何事(物)
71,anywhere,/ˈɛniˌwɛr/,adv,任何地方
72,apologize,/əˈpɑləˌʤaɪz/,vi,道歉
73,appear,/əˈpɪr/,v,出现
74,apple,/ˈæpəl/,n,苹果
75,apply,/əˈplaɪ/,v,申请；应用
76,area,/ˈɛriə/,n,面积；范围；地区
77,argue,/ˈɑrgju/,v,争吵，争论
78,arm,/ɑrm/,n,手臂
79,army,/ˈɑrmi/,n,军队
80,around,/əraʊnd/,adv / prep,在周围；环绕；在……周围
81,arrange,/əreɪnʤ/,v,安排；布置
82,arrival,/ərˈaɪvəl/,n,到达
83,arrive,/əraɪv/,v,到达；达到
84,art,/ɑrt/,n,艺术
85,article,/ˈɑrtɪkəl/,n,文章
86,artist,/ˈɑrtɪst/,n,艺术家；画家
87,as,/ɛz/,conj / prep / adv,像……一样；如同；因为；当……时；作为，当作；当……时；同样地
88,ask,/æsk/,v,问，询问；请求，要求
89,assistant,/əˈsɪstənt/,n,助手，助理
90,at,/æt/,prep,在(几点钟)；在(某处)；(表示动作的目标和方向)
91,attack,/əˈtæk/,v,进攻，袭击
92,attend,/əˈtɛnd/,v,出席，参加
93,attention,/əˈtɛnʃən/,n,注意，关心
94,attitude,/ˈætəˌtud/,n,态度
95,attract,/əˈtrækt/,v,吸引；引起
96,attractive,/əˈtræktɪv/,adj,有吸引力的
97,audience,/ˈɔdiəns/,n,观众；听众
98,aunt,/ɔnt/,n,姑；姨；伯母；舅母；婶
99,automatic,/ˌɔtəˈmætɪk/,adj,自动的
100,autumn,/ˈɔtəm/,n,秋天，秋季
101,available,/əˈveɪləbəl/,adj,可用的；可得到的
102,average,/ˈævərɪʤ/,adj / n,平均的；普通的；平均数
103,avoid,/əˈvɔɪd/,v,避免；避开
104,award,/əˈwɔrd/,n / v,奖品，奖励；授予
105,away,/əˈweɪ/,adv,离开；远离
106,awful,/ˈɔfəl/,adj,可怕的
107,baby,/ˈbeɪbi/,n,婴儿
108,back,/bæk/,adv / n,回(原处)；向后；背后，后部；背
109,background,/ˈbækˌgraʊnd/,n,背景
110,bad (比较级 worse，最高级 worst),/bæd/,adj,坏的；有害的，不利的；糟糕，可惜；严重的
111,bag,/bæg/,n,书包；提包；袋子
112,bakery,/ˈbeɪkəri/,n,面包店
113,balance,/ˈbæləns/,n,平衡
114,ball,/bɔl/,n,球
115,balloon,/bəˈlun/,n,气球
116,banana,/bəˈnænə/,n,香蕉
117,bank,/bæŋk/,n,银行
118,bar,/bɑr/,n,酒吧
119,base,/beɪs/,n,根据地，基地；基础
120,basic,/ˈbeɪsɪk/,adj,基本的；基础的
121,basket,/ˈbæskət/,n,篮子
122,basketball,/ˈbæskətˌbɔl/,n,篮球
123,bath,/bæθ/,n,洗澡
124,bathroom,/ˈbæθˌrum/,n,浴室；盥洗室；厕所
125,battery,/ˈbætəri/,n,电池，蓄电池
126,battle,/ˈbætəl/,n,战斗；战役
127,be,/bi/,v,"是；成为(原形，其人称和时态形式有 am, is, are, was, were,"
128,"being, been)",/biɪŋ/ /bɪn)/,,
129,beach,/biʧ/,n,海滨，海滩
130,bear,/bɛr/,n,熊
131,"beat (beat, beaten)",/bit/,v,敲打；跳动；打赢
132,beautiful,/ˈbjutəfəl/,adj,美丽的
133,beautifully,/ˈbjutəfli/,adv,优美地
134,beauty,/ˈbjuti/,n,美
135,because,/bɪˈkəz/,conj,因为
136,"become (became, become)",/bɪˈkəm/,v,变得；成为
137,bed,/bɛd/,n,床
138,bedroom,/ˈbɛˌdrum/,n,卧室
139,beef,/bif/,n,牛肉
140,before,/ˌbiˈfɔr/,prep / adv / conj,在……以前；在……前面；以前；在……之前
141,beg,/bɛg/,v,请求，乞求，乞讨
142,"begin (began, begun)",/bɪˈgɪn/,v,开始，着手
143,beginning,/bɪˈgɪnɪŋ/,n,开始；开端
144,behavior,/bɪˈheɪvjər/,n,行为，举止
145,behind,/bɪˈhaɪnd/,prep / adv,在……后面；在后面；向后
146,being,/biɪŋ/,n,生物；人
147,believe,/bɪˈliv/,v,相信，认为
148,bell,/bɛl/,n,钟，铃
149,belong,/bɪˈlɔŋ/,v,属；附属
150,below,/bɪˈloʊ/,prep,在……下面
151,belt,/bɛlt/,n,(皮)带；带子
152,beside,/ˌbiˈsaɪd/,prep,在……旁边；靠近
153,besides,/ˌbiˈsaɪdz/,prep / adv,除……以外(还有)；还有，此外
154,"best (good, well 的最高级)",/bɛst/,adj & adv / n,最好的；最好地，最；最好的(人或物)
155,"better (good, well 的比较级)",/ˈbɛtər/,adj & adv / n,较好的，更好的；更好地；较好的事物；较优者
156,between,/bɪtˈwin/,prep,在(两者)之间；在……中间
157,bicycle/bike,/ˈbaɪsɪkəl/ /baɪk/,n,自行车
158,big,/bɪg/,adj,大的
159,bill,/bɪl/,n,账单；钞票，纸币
160,bin,/bɪn/,n,箱子；垃圾箱
161,bird,/bərd/,n,鸟
162,birthday,/ˈbərθˌdeɪ/,n,生日
163,biscuit,/ˈbɪskət/,n,饼干
164,bit,/bɪt/,n,一点；一些；少量的
165,"bite (bit, bitten)",/baɪt/,v,咬；叮
166,black,/blæk/,n / adj,黑色；黑色的
167,blackboard,/ˈblækˌbɔrd/,n,黑板
168,blanket,/ˈblæŋkɪt/,n,毯子
169,blind,/blaɪnd/,adj / n,瞎的；盲人
170,block,/blɑk/,n / v,一排房屋；街区(街道中间的区域)；大块；阻止
171,blood,/bləd/,n,血，血液
172,"blow (blew, blown)",/bloʊ/,v,吹；刮风；吹气
173,blue,/blu/,n / adj,蓝色；蓝色的
174,board,/bɔrd/,n / v,板；木板；；登，上(船、火车、飞机等)
175,boat,/boʊt/,n / v,小船，小舟；划船(游玩)
176,body,/ˈbɑdi/,n,身体
177,boil,/bɔɪl/,v,沸腾；煮
178,book,/bʊk/,n / v,书；本子；预订，订(房间、车票、座位等)
179,bored,/bɔrd/,adj,感到乏味的；厌倦的
180,boring,/ˈbɔrɪŋ/,adj,乏味的；无聊的；令人厌烦的
181,born (动词 bear,/bɔrn/ /bɛr/,,的过去分词) 出生
182,borrow,/ˈbɑˌroʊ/,v,(向别人)借用；借
183,both,/boʊθ/,pron / adj / adv,两者(都)；双方(都)；(两)……都；双；两个都
184,bottle,/ˈbɑtəl/,n,瓶子
185,bottom,/ˈbɑtəm/,n,底部
186,bowl,/boʊl/,n,碗
187,box,/bɑks/,n,盒子；箱子
188,boy,/bɔɪ/,n,男孩
189,brain,/breɪn/,n,脑
190,brave,/breɪv/,adj,勇敢的
191,bread,/brɛd/,n,面包
192,"break (broke, broken)",/breɪk/,v / n,打破(断，碎)；损坏；休息；间隙
193,breakfast,/ˈbrɛkfəst/,n,早餐
194,breath,/brɛθ/,n,呼吸， 一口气；气息
195,breathe,/brið/,v,呼吸
196,bridge,/brɪʤ/,n,桥
197,bright,/braɪt/,adj,明亮的；聪明的；灿烂的
198,"bring (brought, brought)",/brɪŋ/,v,拿来，带来
199,broadcast,/ˈbrɔdˌkæst/,n,广播节目
200,brother,/ˈbrəðər/,n,兄；弟
201,brown,/braʊn/,n / adj,褐色，棕色；褐色的，棕色的
202,brush,/brəʃ/,v / n,刷；擦；刷子
203,"build (built, built)",/bɪld/,v,建筑；建造
204,building,/ˈbɪldɪŋ/,n,建筑物，大楼
205,bund (the Bund),/bənd/,n,外滩
206,"burn (burned, burned 或 burnt, burnt)",/bərn/,v,燃烧；着火；使烧焦
207,bus,/bəs/,n,公共汽车
208,business,/ˈbɪznɪs/,n,生意；事业；商业
209,businessman,/ˈbɪznɪsˌmæn/,n,商人
210,busy,/ˈbɪzi/,adj,忙(碌)的
211,but,/bət/,conj,但是
212,butter,/ˈbətər/,n,黄油，奶油
213,butterfly,/ˈbətərˌflaɪ/,n,蝴蝶
214,button,/ˈbətən/,n,纽扣；(电铃等的)按钮
215,"buy (bought, bought)",/baɪ/,v,买
216,by,/baɪ/,prep,靠近，在……旁边；在……时间；不迟于；(用于被动语态)被；(表示手段、方法)用；由；(用交通工具等)乘(车)
217,bye,/baɪ/,int,再见
218,cabbage,/ˈkæbɪʤ/,n,卷心菜
219,café,/café*é/,n,咖啡馆
220,cake,/keɪk/,n,蛋糕，糕点；饼
221,call,/kɔl/,v / n,打电话给……；称呼；取名；呼唤；喊；叫；喊；叫；电话；通话
222,calm,/kɑm/,adj / v,镇静的；沉着的；使平静，安静
223,camera,/ˈkæmərə/,n,照相机
224,camp,/kæmp/,n,(夏令)营；野营
225,can (could) can’t = can,/kən/ /can’t*/ /kən/,n / n,ot aux. v. 可能；能够；可以；会；(美)罐头；罐子
226,cancel,/ˈkænsəl/,v,取消
227,capital,/ˈkæpɪtəl/,n,首都
228,captain,/ˈkæptən/,n,船长，队长
229,car,/kɑr/,n,小汽车
230,card,/kɑrd/,n,卡片
231,care,/kɛr/,n / v,照料，保护；小心；介意；在乎；关心
232,careful,/ˈkɛrfəl/,adj,小心的；仔细的
233,carefully,/ˈkɛrfəli/,adv,小心地；仔细地
234,careless,/ˈkɛrlɛs/,adj,粗心的
235,carrot,/ˈkɛrət/,n,胡萝卜
236,carry,/ˈkɛri/,v,拿，搬，提，抬，背，抱，携带，运送等
237,cartoon,/kɑrˈtun/,n,动画片；卡通；漫画
238,case,/keɪs/,n,情况；案件；箱；盒
239,cat,/kæt/,n,猫
240,"catch (caught, caught)",/kæʧ/,v,接住；捉住；赶上(车辆等)；染上(疾病)；弄清楚；领会；理解
241,cause,/kɔz/,n / v,原因，起因；促使，引起，使发生
242,cave,/keɪv/,n,洞，穴；地窖
243,celebrate,/ˈsɛləˌbreɪt/,v,庆祝
244,cent,/sɛnt/,n,美分(100 cents = 1 dollar)
245,centre (美 center),/ˈsɛntər/,n,中心，中央
246,century,/ˈsɛnʧəri/,n,世纪，百年
247,certainly,/ˈsərtənli/,adv,当然，是的；一定，无疑
248,chain,/ʧeɪn/,n,链；链条，连锁店
249,chair,/ʧɛr/,n,椅子
250,challenge,/ˈʧælənʤ/,n & v,"挑战, 质疑"
251,chance,/ʧæns/,n,机会
252,change,/ʧeɪnʤ/,v / n,改变，变化； 更换；兑换(零钱)；零钱；找头；变化
253,changeable,/ˈʧeɪnʤəbəl/,adj,易变的，变化无常的
254,channel,/ˈʧænəl/,n,(电视)频道
255,character,/ˈkɛrɪktər/,n,性格，特性；特征，特点；角色
256,charge,/ʧɑrʤ/,n,主管；掌管
257,charity,/ˈʧɛrɪti/,n,慈善
258,chat,/ʧæt/,n,．& v. 聊天，闲谈
259,cheap,/ʧip/,adj,便宜的
260,check,/ʧɛk/,n / v,检查；批改；支票；核对；检查
261,cheer,/ʧɪr/,n & v,欢呼； 喝彩
262,cheese,/ʧiz/,n,奶酪
263,chemical,/ˈkɛmɪkəl/,n / adj,化学品；化学物质；化学的
264,chemistry,/ˈkɛmɪstri/,n,化学
265,chess,/ʧɛs/,n,棋
266,chicken,/ˈʧɪkən/,n,鸡；鸡肉
267,chief,/ʧif/,adj / n,主要的； 首要的；领导，头
268,child (复 children),/ʧaɪld/,n,孩子，儿童
269,childhood,/ˈʧaɪlˌdhʊd/,n,幼年时代，童年
270,china,/ˈʧaɪnə/,n,瓷器
271,chocolate,/ˈʧɔklət/,n,巧克力
272,choice,/ʧɔɪs/,n,选择
273,"choose (chose, chosen)",/ʧuz/,v,选择
274,chopstick,/ˈʧɑpˌstɪk/,n,筷子
275,Christmas,/ˈkrɪsməs/,n,圣诞节
276,church,/ʧərʧ/,n,教堂
277,cinema,/ˈsɪnəmə/,n,电影院；电影
278,circle,/ˈsərkəl/,n / v,圆圈；将……圈起来
279,citizen,/ˈsɪtɪzən/,n,公民；居民；市民
280,city,/ˈsɪti/,n,城市
281,class,/klæs/,n,(学校里的)班级；课；等级
282,classmate,/ˈklæsˌmeɪt/,n,同班同学
283,classroom,/ˈklæsˌrum/,n,教室
284,clean,/klin/,v / adj,弄干净；打扫；清洁的，干净的
285,clear,/klɪr/,adj / v,清晰的；明亮的；清楚的；清除；清扫
286,clearly,/ˈklɪrli/,adv,清晰地，明亮地；清楚地
287,clerk,/klərk/,n,职员，办事员
288,clever,/ˈklɛvər/,adj,聪明的
289,click,/klɪk/,n & v,（鼠标）点击
290,climb,/klaɪm/,v,爬，攀登
291,clinic,/ˈklɪnɪk/,n,诊所，医务室
292,clock,/klɑk/,n,钟
293,close,/kloʊz/,v / adj / adv,关，关闭；亲密的；近，靠近；近，靠近
294,clothes,/kloʊðz/,n,衣服
295,cloud,/klaʊd/,n,云
296,cloudy,/ˈklaʊdi/,adj,多云的；阴天的
297,club,/kləb/,n,俱乐部
298,coat,/koʊt/,n,外套；上衣
299,coffee,/ˈkɔfi/,n,咖啡
300,coin,/kɔɪn/,n,硬币
301,cold,/koʊld/,adj / n,冷的，寒冷的；寒冷；感冒，伤风
302,collect,/kəˈlɛkt/,v,收集，采集
303,collection,/kəˈlɛkʃən/,n,收集
304,college,/ˈkɑlɪʤ/,n,学院
305,colour (美 color),/ˈkələr/,n / v,颜色；涂色
306,"come (came, come)",/kəm/,v,来，来到
307,comfortable,/ˈkəmfərtəbəl/,adj,舒服的
308,common,/ˈkɑmən/,adj,普通的，一般的；共有的
309,communicate,/kəmˈjunəˌkeɪt/,v,交流；交际；传达(感情、信息等)
310,community,/kəmˈjunɪti/,n,社区
311,company,/ˈkəmpəˌni/,n,公司
312,compare,/kəmˈpɛr/,v,比较，对照
313,competition,/ˌkɑmpəˈtɪʃən/,n,比赛，竞赛
314,complain,/kəmˈpleɪn/,v,抱怨；投诉
315,complete,/kəmˈplit/,adj / v,完成的，完整的，完全的；完成，结束
316,completely,/kəmˈplitli/,adv,完全地，完整地
317,computer,/kəmˈpjutər/,n,电脑
318,concert,/ˈkɑnsərt/,n,音乐会；演奏会
319,conclusion,/kənˈkluʒən/,n,结论；结束，结局
320,conference,/ˈkɑnfərəns/,n,(正式的)会议；讨论会
321,confidence,/ˈkɑnfədɛns/,n,自信心；信任
322,confident,/ˈkɑnfədənt/,adj,自信的
323,confuse,/kənfˈjuz/,v,使困惑，扰乱；分不清
324,congratulation,/kənˌgræʧəˈleɪʃən/,n,祝贺
325,connect,/kəˈnɛkt/,v,连接，把……联系起来
326,consider,/kənˈsɪdər/,v,考虑
327,consist,/kənˈsɪst/,v,包含；组成，构成
328,contact,/ˈkɑnˌtækt/,n / v,接触；联系；与……来往，联系
329,contest,/ˈkɑntɛst/,n,竞赛
330,continue,/kənˈtɪnju/,v,继续
331,control,/kənˈtroʊl/,v & n,控制
332,convenient,/kənˈvinjənt/,adj,便利的，方便的
333,conversation,/ˌkɑnvərˈseɪʃən/,n,会话；谈话
334,cook,/kʊk/,n / v,厨师，炊事员；烹调，做饭
335,cool,/kul/,adj,凉的，凉爽的；酷
336,copy,/ˈkɑpi/,n / v,抄本，副本；一本(份，册……)；抄写；复印；(计算机用语)拷(备份)；模仿
337,corner,/ˈkɔrnər/,n,角；角落；拐角
338,correct,/kərˈɛkt/,adj / v,正确的，对的；恰当的；改正；纠正
339,correctly,/kərˈɛktli/,adv,正确地
340,"cost (cost, cost)",/kɔst/,v,值(多少钱)；花费
341,cotton,/ˈkɔtən/,n,棉花
342,cough,/kɔf/,n & v,咳嗽
343,count,/kaʊnt/,v,数
344,country,/ˈkəntri/,n,国家；农村；乡下
345,couple,/ˈkəpəl/,n,夫妇；一对；一双；一副
346,course,/kɔrs/,n,过程；经过；课程
347,cousin,/ˈkəzən/,n,堂(表)兄弟，堂(表)姐妹
348,cover,/ˈkəvər/,v / n,覆盖；遮盖；掩盖；盖子；罩；封面
349,crazy,/ˈkreɪzi/,adj,疯狂的
350,cream,/krim/,n,奶油，乳脂
351,create,/kriˈeɪt/,v,创造；造成
352,creative,/kriˈeɪtɪv/,adj,创造性的，有创意的
353,cross,/krɔs/,n / v,十字形的东西；越过；穿过
354,crowd,/kraʊd/,n,人群
355,crowded,/ˈkraʊdɪd/,adj,拥挤的
356,cry,/kraɪ/,v / n,喊叫；哭；叫喊；哭声
357,culture,/ˈkəlʧər/,n,文化
358,cup,/kəp/,n,茶杯，杯子
359,custom,/ˈkəstəm/,n,习惯，习俗
360,customer,/ˈkəstəmər/,n,顾客，主顾
361,"cut (cut, cut)",/kət/,v,切；剪；削；割
362,cute,/kjut/,adj,可爱的，漂亮迷人的
363,cycle,/ˈsaɪkəl/,v,骑(自行)车
364,dad,/dæd/,n,(口语)爸爸
365,daily,/ˈdeɪli/,adj / adv / n,每日的；日常的；每天；日报
366,damage,/ˈdæmɪʤ/,n & v,破坏，损害
367,dance,/dæns/,n & v,跳舞
368,dancer,/ˈdænsər/,n,跳舞者，舞蹈演员
369,danger,/ˈdeɪnʤər/,n,危险
370,dangerous,/ˈdeɪnʤərəs/,adj,危险的
371,dare,/dɛr/,v,(后接不带 to 的不定式主要用于疑问，否定或条件句)敢，敢于
372,dark,/dɑrk/,n / adj,黑暗；暗处；深色；黑暗的；暗淡的；深色的
373,date,/deɪt/,n,日期；约会
374,daughter,/ˈdɔtər/,n,女儿
375,day,/deɪ/,n,(一)天，(一)日；白天
376,dead,/dɛd/,adj,死的；无生命的
377,"deal (dealt, dealt)",/dil/,v / n,对付；分配，分给；给予；经营；交易
378,dear,/dɪr/,adj,亲爱的；贵的
379,death,/dɛθ/,n,死亡
380,debate,/dəˈbeɪt/,v & n,争论，辩论；讨论
381,decide,/ˌdɪˈsaɪd/,v,决定；下决心
382,decision,/dɪˈsɪʒən/,n,决定；决心
383,decorate,/ˈdɛkərˌeɪt/,v,装饰
384,deep,/dip/,adj,深
385,degree,/dɪˈgri/,n,程度；度数；学位
386,delay,/dɪˈleɪ/,v & n,拖延，延误，延期
387,delicious,/dɪˈlɪʃəs/,adj,美味的，可口的
388,deliver,/dɪˈlɪvər/,v,投递(信件，邮包等)；传送
389,dentist,/ˈdɛntɪst/,n,牙科医生
390,deny,/dɪˈnaɪ/,v,否认，否定
391,departure,/dɪˈpɑrʧər/,n,离开
392,depend,/dɪˈpɛnd/,v,依靠，依赖；取决于
393,describe,/dɪˈskraɪb/,v,描写，叙述
394,deserve,/dɪˈzərv/,v,应得，应受
395,design,/dɪˈzaɪn/,v,设计，策划
396,desire,/dɪˈzaɪər/,n / v,愿望；欲望；渴望；热切希望
397,desk,/dɛsk/,n,书桌，写字台
398,destroy,/dɪˈstrɔɪ/,v,破坏，毁坏
399,detail,/ˈditeɪl/,n,细节
400,detective,/dɪˈtɛktɪv/,adj / n,侦探的；侦探
401,develop,/dɪˈvɛləp/,v,发展；开发；培养
402,development,/dɪˈvɛləpmənt/,n,发展
403,dial,/daɪəl/,v,拨电话号码
404,dialogue (美 dialog),/ˈdaɪəˌlɔg/,n,对话
405,diary,/ˈdaɪəri/,n,日记；日记簿
406,dictionary,/ˈdɪkʃəˌnɛri/,n,词典，字典
407,die,/daɪ/,v,死
408,diet,/daɪət/,n,饮食；食谱；食物
409,difference,/ˈdɪfərəns/,n,不同
410,different,/ˈdɪfərənt/,adj,不同的，有差异的
411,difficult,/ˈdɪfəkəlt/,adj,困难的，费力的
412,difficulty,/ˈdɪfɪˌkəlti/,n,困难
413,"dig (dug, dug)",/dɪg/,v,挖；掘
414,dinner,/ˈdɪnər/,n,正餐
415,direction,/dɪˈrɛkʃɪn/,n,方向；趋势；用法说明
416,directly,/dɪˈrɛkli/,adv,直接地
417,director,/dɪˈrɛktər/,n,导演
418,dirty,/ˈdərti/,adj,脏的
419,disadvantage,/ˌdɪsədˈvænɪʤ/,n,不利，劣势，短处
420,disappear,/ˌdɪsəˈpɪr/,v,消失，不见
421,disappointed,/ˌdɪsəˈpɔɪnɪd/,adj,失望的，沮丧的
422,disaster,/dɪˈzæstər/,n,灾难；灾祸
423,discover,/dɪˈskəvər/,v,发现；看出
424,discuss,/dɪˈskəs/,v,讨论，议论
425,discussion,/dɪˈskəʃən/,n,讨论
426,dish,/dɪʃ/,n,盘，碟；盘装菜；盘形物
427,dishonest,/dɪˈsɑnəst/,adj,不诚实的，欺骗性的
428,dislike,/dɪsˈlaɪk/,v,不喜欢；厌恶
429,distance,/ˈdɪstəns/,n,距离
430,disturb,/dɪˈstərb/,v,扰乱；打扰
431,divide,/dɪˈvaɪd/,v,分，划分；(算术用语)除
432,do (did，done),/du/,v & aux,做，干(用以构成疑问句及否定句。第三人称单数现在时用 does)
433,doctor,/ˈdɔktər/,n,医生
434,dog,/dɔg/,n,狗
435,dollar,/ˈdɔlər/,n,元(美国、加拿大、澳大利亚等国货币单位)
436,door,/dɔr/,n,门；通道
437,double,/ˈdəbəl/,adj,两倍的；双的
438,down,/daʊn/,prep / adv,沿着，沿……而下；向下
439,download,/ˈdaʊnˌloʊd/,v,下载
440,downstairs,/ˈdaʊnˈstɛrz/,adv,在楼下；到楼下
441,"draw (drew, drawn)",/drɔ/,v,绘画；绘制；拉，拖
442,"dream (dreamt, dreamt 或 dreamed, dreamed)",/drim/,n & v,梦，梦想
443,dress,/drɛs/,n / v,女服，连衣裙；(统指)服装；童装；穿衣；穿着
444,"drink (drank, drunk)",/drɪŋk/,v / n,喝，饮；饮料；喝酒
445,"drive (drove, driven)",/draɪv/,v,驾驶，开(车)；驱赶
446,driver,/ˈdraɪvər/,n,司机，驾驶员
447,drop,/drɔp/,n / v,滴；掉下，落下；扔掉；放弃
448,dry,/draɪ/,adj,干的；干燥的
449,duck,/dək/,n,鸭子
450,dull,/dəl/,adj,单调无味的
451,during,/ˈdʊrɪŋ/,prep,在……期间；在……过程中
452,duty,/ˈduti/,n,责任
453,each,/iʧ/,adj & pron,每人；每个；每件
454,eager,/ˈigər/,adj,渴望的，热切的
455,ear,/ɪr/,n,耳朵
456,early,/ˈərli/,adj / adv,早的；早地
457,earth,/ərθ/,n,地球；土，泥；大地
458,earthquake,/ˈərθkˌweɪk/,n,地震
459,easily,/ˈizəli/,adv,容易地
460,east,/ist/,adj / n,东方的；东部的；东，东方；东部
461,easy,/ˈizi/,adj,容易的，不费力的
462,"eat (ate, eaten)",/it/,v,吃
463,economy,/ɪˈkɑnəmi/,n,经济
464,education,/ˌɛʤəˈkeɪʃən/,n,教育
465,educational,/ˌɛʤəˈkeɪʃənəl/,adj,教育的
466,effect,/ˈifɛkt/,n,效果
467,effort,/ˈɛfərt/,n,精力，努力
468,egg,/ɛg/,n,蛋；卵
469,either,/ˈiðər/,adj / pron / adv,两方任一方的；二者之一的；二者之一；要么……；(用于否定句或短语后)也(不)
470,elder,/ˈɛldər/,adj,年龄较大的；前辈的
471,electric,/ɪˈlɛktrɪk/,adj,电的
472,electricity,/ɪˌlɛkˈtrɪsəti/,n,电
473,elementary,/ˌɛləˈmɛnʧri/,adj,初级的；基本的
474,elephant,/ˈɛləfənt/,n,大象
475,else,/ɛls/,adv,别的；其他的
476,e-mail (email),/i/ /meɪl/,n / v,电子邮件；发电子邮件
477,embarrassed,/ɪmˈbɛrəst/,adj,局促不安的； 为难的； 尴尬的； 窘迫的
478,emergency,/ˈimərʤənsi/,n,紧急情况； 突发事件；
479,empty,/ˈɛmti/,adj,空的
480,enable,/ɪˈneɪbəl/,v,使……能够，使……有能力
481,encourage,/ɪnˈkərəʤ/,v,鼓励
482,end,/ɛnd/,n / v,末尾；终点；结束；结束，终止
483,enemy,/ˈɛnəmi/,n,敌人；敌军
484,energy,/ˈɛnərʤi/,n,精力；能量
485,engine,/ˈɪnʤən/,n,发动机，引擎
486,engineer,/ˈɛnʤəˈnɪr/,n,工程师；技师
487,enjoy,/ˌɛnˈʤɔɪ/,v,欣赏；享受；喜欢
488,enjoyable,/ˌɛnˈʤɔɪəbəl/,adj,使人愉快的；使人欢乐的
489,enough,/ɪˈnəf/,adj / adv / n,足够的；充分的；足够地；充分地；足够；充足
