序号,英文单词,音标,词性,中文含义
172,"blow (blew, blown)",/bloʊ/,,
173,blue,/blu/,,
174,board,/bɔrd/,,
175,boat,/boʊt/,,
176,body,/ˈbɑdi/,,
177,boil,/bɔɪl/,,
178,book,/bʊk/,,
179,bored,/bɔrd/,,
180,boring,/ˈbɔrɪŋ/,,
181,born (动词 bear,/bɔrn/ /bɛr/,,
182,borrow,/ˈbɑˌroʊ/,,
183,both,/boʊθ/,,
184,bottle,/ˈbɑtəl/,,
185,bottom,/ˈbɑtəm/,,
186,bowl,/boʊl/,,
187,box,/bɑks/,,
188,boy,/bɔɪ/,,
189,brain,/breɪn/,,
190,brave,/breɪv/,,
191,bread,/brɛd/,,
192,"break (broke, broken)",/breɪk/,,
193,breakfast,/ˈbrɛkfəst/,,
194,breath,/brɛθ/,,
195,breathe,/brið/,,
196,bridge,/brɪʤ/,,
197,bright,/braɪt/,,
198,"bring (brought, brought)",/brɪŋ/,,
199,broadcast,/ˈbrɔdˌkæst/,,
200,brother,/ˈbrəðər/,,
201,brown,/braʊn/,,
202,brush,/brəʃ/,,
203,"build (built, built)",/bɪld/,,
204,building,/ˈbɪldɪŋ/,,
205,bund (the Bund),/bənd/,,
206,"burn (burned, burned 或 burnt, burnt)",/bərn/,,
207,bus,/bəs/,,
208,business,/ˈbɪznɪs/,,
209,businessman,/ˈbɪznɪsˌmæn/,,
210,busy,/ˈbɪzi/,,
211,but,/bət/,,
212,butter,/ˈbətər/,,
213,butterfly,/ˈbətərˌflaɪ/,,
214,button,/ˈbətən/,,
215,"buy (bought, bought)",/baɪ/,,
216,by,/baɪ/,,
217,bye,/baɪ/,,
218,cabbage,/ˈkæbɪʤ/,,
219,café,/café*é/,,
220,cake,/keɪk/,,
221,call,/kɔl/,,
222,calm,/kɑm/,,
223,camera,/ˈkæmərə/,,
224,camp,/kæmp/,,
225,can (could) can’t = can,/kən/ /can’t*/ /kən/,,
226,cancel,/ˈkænsəl/,,
227,capital,/ˈkæpɪtəl/,,
228,captain,/ˈkæptən/,,
229,car,/kɑr/,,
230,card,/kɑrd/,,
231,care,/kɛr/,,
232,careful,/ˈkɛrfəl/,,
233,carefully,/ˈkɛrfəli/,,
234,careless,/ˈkɛrlɛs/,,
235,carrot,/ˈkɛrət/,,
236,carry,/ˈkɛri/,,
237,cartoon,/kɑrˈtun/,,
238,case,/keɪs/,,
239,cat,/kæt/,,
240,"catch (caught, caught)",/kæʧ/,,
241,cause,/kɔz/,,
242,cave,/keɪv/,,
243,celebrate,/ˈsɛləˌbreɪt/,,
244,cent,/sɛnt/,,
245,centre (美 center),/ˈsɛntər/,,
246,century,/ˈsɛnʧəri/,,
247,certainly,/ˈsərtənli/,,
248,chain,/ʧeɪn/,,
249,chair,/ʧɛr/,,
250,challenge,/ˈʧælənʤ/,,
251,chance,/ʧæns/,,
252,change,/ʧeɪnʤ/,,
253,changeable,/ˈʧeɪnʤəbəl/,,
254,channel,/ˈʧænəl/,,
255,character,/ˈkɛrɪktər/,,
256,charge,/ʧɑrʤ/,,
257,charity,/ˈʧɛrɪti/,,
258,chat,/ʧæt/,,
259,cheap,/ʧip/,,
260,check,/ʧɛk/,,
261,cheer,/ʧɪr/,,
262,cheese,/ʧiz/,,
263,chemical,/ˈkɛmɪkəl/,,
264,chemistry,/ˈkɛmɪstri/,,
265,chess,/ʧɛs/,,
266,chicken,/ˈʧɪkən/,,
267,chief,/ʧif/,,
268,child (复 children),/ʧaɪld/,,
269,childhood,/ˈʧaɪlˌdhʊd/,,
270,china,/ˈʧaɪnə/,,
271,chocolate,/ˈʧɔklət/,,
272,choice,/ʧɔɪs/,,
273,"choose (chose, chosen)",/ʧuz/,,
274,chopstick,/ˈʧɑpˌstɪk/,,
275,Christmas,/ˈkrɪsməs/,,
276,church,/ʧərʧ/,,
277,cinema,/ˈsɪnəmə/,,
278,circle,/ˈsərkəl/,,
279,citizen,/ˈsɪtɪzən/,,
280,city,/ˈsɪti/,,
281,class,/klæs/,,
282,classmate,/ˈklæsˌmeɪt/,,
283,classroom,/ˈklæsˌrum/,,
284,clean,/klin/,,
285,clear,/klɪr/,,
286,clearly,/ˈklɪrli/,,
287,clerk,/klərk/,,
288,clever,/ˈklɛvər/,,
289,click,/klɪk/,,
290,climb,/klaɪm/,,
291,clinic,/ˈklɪnɪk/,,
292,clock,/klɑk/,,
293,close,/kloʊz/,,
294,clothes,/kloʊðz/,,
295,cloud,/klaʊd/,,
296,cloudy,/ˈklaʊdi/,,
297,club,/kləb/,,
298,coat,/koʊt/,,
299,coffee,/ˈkɔfi/,,
300,coin,/kɔɪn/,,
301,cold,/koʊld/,,
302,collect,/kəˈlɛkt/,,
303,collection,/kəˈlɛkʃən/,,
304,college,/ˈkɑlɪʤ/,,
305,colour (美 color),/ˈkələr/,,
306,"come (came, come)",/kəm/,,
307,comfortable,/ˈkəmfərtəbəl/,,
308,common,/ˈkɑmən/,,
309,communicate,/kəmˈjunəˌkeɪt/,,
310,community,/kəmˈjunɪti/,,
311,company,/ˈkəmpəˌni/,,
312,compare,/kəmˈpɛr/,,
313,competition,/ˌkɑmpəˈtɪʃən/,,
314,complain,/kəmˈpleɪn/,,
315,complete,/kəmˈplit/,,
316,completely,/kəmˈplitli/,,
317,computer,/kəmˈpjutər/,,
318,concert,/ˈkɑnsərt/,,
319,conclusion,/kənˈkluʒən/,,
320,conference,/ˈkɑnfərəns/,,
321,confidence,/ˈkɑnfədɛns/,,
322,confident,/ˈkɑnfədənt/,,
323,confuse,/kənfˈjuz/,,
324,congratulation,/kənˌgræʧəˈleɪʃən/,,
325,connect,/kəˈnɛkt/,,
326,consider,/kənˈsɪdər/,,
327,consist,/kənˈsɪst/,,
328,contact,/ˈkɑnˌtækt/,,
329,contest,/ˈkɑntɛst/,,
330,continue,/kənˈtɪnju/,,
331,control,/kənˈtroʊl/,,
332,convenient,/kənˈvinjənt/,,
333,conversation,/ˌkɑnvərˈseɪʃən/,,
334,cook,/kʊk/,,
335,cool,/kul/,,
336,copy,/ˈkɑpi/,,
337,corner,/ˈkɔrnər/,,
338,correct,/kərˈɛkt/,,
339,correctly,/kərˈɛktli/,,
340,"cost (cost, cost)",/kɔst/,,
341,cotton,/ˈkɔtən/,,
342,cough,/kɔf/,,
343,count,/kaʊnt/,,
344,country,/ˈkəntri/,,
345,couple,/ˈkəpəl/,,
346,course,/kɔrs/,,
347,cousin,/ˈkəzən/,,
348,cover,/ˈkəvər/,,
349,crazy,/ˈkreɪzi/,,
350,cream,/krim/,,
351,create,/kriˈeɪt/,,
352,creative,/kriˈeɪtɪv/,,
353,cross,/krɔs/,,
354,crowd,/kraʊd/,,
355,crowded,/ˈkraʊdɪd/,,
356,cry,/kraɪ/,,
357,culture,/ˈkəlʧər/,,
358,cup,/kəp/,,
359,custom,/ˈkəstəm/,,
360,customer,/ˈkəstəmər/,,
361,"cut (cut, cut)",/kət/,,
362,cute,/kjut/,,
363,cycle,/ˈsaɪkəl/,,
364,dad,/dæd/,,
365,daily,/ˈdeɪli/,,
366,damage,/ˈdæmɪʤ/,,
367,dance,/dæns/,,
368,dancer,/ˈdænsər/,,
369,danger,/ˈdeɪnʤər/,,
370,dangerous,/ˈdeɪnʤərəs/,,
371,dare,/dɛr/,,
372,dark,/dɑrk/,,
373,date,/deɪt/,,
374,daughter,/ˈdɔtər/,,
375,day,/deɪ/,,
376,dead,/dɛd/,,
377,"deal (dealt, dealt)",/dil/,,
378,dear,/dɪr/,,
379,death,/dɛθ/,,
380,debate,/dəˈbeɪt/,,
381,decide,/ˌdɪˈsaɪd/,,
382,decision,/dɪˈsɪʒən/,,
383,decorate,/ˈdɛkərˌeɪt/,,
384,deep,/dip/,,
385,degree,/dɪˈgri/,,
386,delay,/dɪˈleɪ/,,
387,delicious,/dɪˈlɪʃəs/,,
388,deliver,/dɪˈlɪvər/,,
389,dentist,/ˈdɛntɪst/,,
390,deny,/dɪˈnaɪ/,,
391,departure,/dɪˈpɑrʧər/,,
392,depend,/dɪˈpɛnd/,,
393,describe,/dɪˈskraɪb/,,
394,deserve,/dɪˈzərv/,,
395,design,/dɪˈzaɪn/,,
396,desire,/dɪˈzaɪər/,,
397,desk,/dɛsk/,,
398,destroy,/dɪˈstrɔɪ/,,
399,detail,/ˈditeɪl/,,
400,detective,/dɪˈtɛktɪv/,,
401,develop,/dɪˈvɛləp/,,
402,development,/dɪˈvɛləpmənt/,,
403,dial,/daɪəl/,,
404,dialogue (美 dialog),/ˈdaɪəˌlɔg/,,
405,diary,/ˈdaɪəri/,,
406,dictionary,/ˈdɪkʃəˌnɛri/,,
407,die,/daɪ/,,
408,diet,/daɪət/,,
409,difference,/ˈdɪfərəns/,,
410,different,/ˈdɪfərənt/,,
411,difficult,/ˈdɪfəkəlt/,,
412,difficulty,/ˈdɪfɪˌkəlti/,,
413,"dig (dug, dug)",/dɪg/,,
414,dinner,/ˈdɪnər/,,
415,direction,/dɪˈrɛkʃɪn/,,
416,directly,/dɪˈrɛkli/,,
417,director,/dɪˈrɛktər/,,
418,dirty,/ˈdərti/,,
419,disadvantage,/ˌdɪsədˈvænɪʤ/,,
420,disappear,/ˌdɪsəˈpɪr/,,
421,disappointed,/ˌdɪsəˈpɔɪnɪd/,,
422,disaster,/dɪˈzæstər/,,
423,discover,/dɪˈskəvər/,,
424,discuss,/dɪˈskəs/,,
425,discussion,/dɪˈskəʃən/,,
426,dish,/dɪʃ/,,
427,dishonest,/dɪˈsɑnəst/,,
428,dislike,/dɪsˈlaɪk/,,
429,distance,/ˈdɪstəns/,,
430,disturb,/dɪˈstərb/,,
431,divide,/dɪˈvaɪd/,,
432,do (did，done),/du/,,
433,doctor,/ˈdɔktər/,,
434,dog,/dɔg/,,
435,dollar,/ˈdɔlər/,,
436,door,/dɔr/,,
437,double,/ˈdəbəl/,,
438,down,/daʊn/,,
439,download,/ˈdaʊnˌloʊd/,,
440,downstairs,/ˈdaʊnˈstɛrz/,,
441,"draw (drew, drawn)",/drɔ/,,
442,"dream (dreamt, dreamt 或 dreamed, dreamed)",/drim/,,
443,dress,/drɛs/,,
444,"drink (drank, drunk)",/drɪŋk/,,
445,"drive (drove, driven)",/draɪv/,,
446,driver,/ˈdraɪvər/,,
447,drop,/drɔp/,,
448,dry,/draɪ/,,
449,duck,/dək/,,
450,dull,/dəl/,,
451,during,/ˈdʊrɪŋ/,,
452,duty,/ˈduti/,,
453,each,/iʧ/,,
454,eager,/ˈigər/,,
455,ear,/ɪr/,,
456,early,/ˈərli/,,
457,earth,/ərθ/,,
458,earthquake,/ˈərθkˌweɪk/,,
459,easily,/ˈizəli/,,
460,east,/ist/,,
461,easy,/ˈizi/,,
462,"eat (ate, eaten)",/it/,,
463,economy,/ɪˈkɑnəmi/,,
464,education,/ˌɛʤəˈkeɪʃən/,,
465,educational,/ˌɛʤəˈkeɪʃənəl/,,
466,effect,/ˈifɛkt/,,
467,effort,/ˈɛfərt/,,
468,egg,/ɛg/,,
469,either,/ˈiðər/,,
470,elder,/ˈɛldər/,,
471,electric,/ɪˈlɛktrɪk/,,
472,electricity,/ɪˌlɛkˈtrɪsəti/,,
473,elementary,/ˌɛləˈmɛnʧri/,,
474,elephant,/ˈɛləfənt/,,
475,else,/ɛls/,,
476,e-mail (email),/i/ /meɪl/,,
477,embarrassed,/ɪmˈbɛrəst/,,
478,emergency,/ˈimərʤənsi/,,
479,empty,/ˈɛmti/,,
480,enable,/ɪˈneɪbəl/,,
481,encourage,/ɪnˈkərəʤ/,,
482,end,/ɛnd/,,
483,enemy,/ˈɛnəmi/,,
484,energy,/ˈɛnərʤi/,,
485,engine,/ˈɪnʤən/,,
486,engineer,/ˈɛnʤəˈnɪr/,,
487,enjoy,/ˌɛnˈʤɔɪ/,,
488,enjoyable,/ˌɛnˈʤɔɪəbəl/,,
489,enough,/ɪˈnəf/,,
490,enrich,/ɪnˈrɪʧ/,,
491,enter,/ˈɛnər/,,
492,entertainment,/ˌɛnərˈteɪnmənt/,,
493,entrance,/ˈɛntrəns/,,
494,envelope,/ˈɛnvəˌloʊp/,,
495,environment,/ɪnˈvaɪrənmənt/,,
496,equal,/ˈikwəl/,,
497,escape,/ɪˈskeɪp/,,
498,especially,/əˈspɛʃəli/,,
499,eve,/iv/,,
500,even,/ˈivɪn/,,
501,evening,/ˈivnɪŋ/,,
502,event,/ɪˈvɛnt/,,
503,ever,/ˈɛvər/,,
504,every,/ˈɛvəri/,,
505,everybody/everyone,/ˈɛvriˌbɑdi/ /ˈɛvriˌwən/,,
506,everyday,/ˈɛvriˈdeɪ/,,
507,everything,/ˈɛvriˌθɪŋ/,,
508,everywhere,/ˈɛvriˌwɛr/,,
509,exactly,/ɪgˈzæktli/,,
510,exam=examination,/ɪgˈzæm/ /ɪgˌzæməˈneɪʃən/,,
511,examine,/ɪgˈzæmɪn/,,
512,example,/ɪgˈzæmpəl/,,
513,excellent,/ˈɛksələnt/,,
514,except,/ɪkˈsɛpt/,,
515,exchange,/ɪksˈʧeɪnʤ/,,
516,excited,/ɪkˈsaɪtɪd/,,
517,exciting,/ɪkˈsaɪtɪŋ/,,
518,excuse,/ɪkˈskjuz/,,
519,exercise,/ˈɛksərˌsaɪz/,,
520,exhibition,/ˌɛksəˈbɪʃən/,,
521,exist,/ɪgˈzɪst/,,
522,exit,/ˈɛksət/,,
523,expect,/ɪkˈspɛkt/,,
524,expensive,/ɪkˈspɛnsɪv/,,
525,experience,/ɪkˈspɪriəns/,,
526,experiment,/ɪkˈspɛrəmənt/,,
527,explain,/ɪkˈspleɪn/,,
528,explore,/ɪkˈsplɔr/,,
529,express,/ɪkˈsprɛs/,,
530,extra,/ˈɛkstrə/,,
531,eye,/aɪ/,,
532,fable,/ˈfeɪbəl/,,
533,face,/feɪs/,,
534,fact,/fækt/,,
535,factory,/ˈfæktəri/,,
536,fail,/feɪl/,,
537,fair,/fɛr/,,
538,"fall (fell, fallen)",/fɔl/,,
539,familiar,/fəˈmɪljər/,,
540,family,/ˈfæməli/,,
541,famous,/ˈfeɪməs/,,
542,fan,/fæn/,,
543,far (比较级 farther，,/fɑr/ /farther，*，/,,
544,fare,/fɛr/,,
545,farm,/fɑrm/,,
546,farmer,/ˈfɑrmər/,,
547,fashion,/ˈfæʃən/,,
548,fast,/fæst/,,
549,fasten,/ˈfæsən/,,
550,fat,/fæt/,,
551,father,/ˈfɑðər/,,
552,favour (美 favor),/ˈfeɪvər/,,
553,favourite (美 favorite),/ˈfeɪvərɪt/,,
554,fear,/fɪr/,,
555,"feed (fed, fed)",/fid/,,
556,"feel (felt, felt)",/fil/,,
557,female,/ˈfiˌmeɪl/,,
558,fence,/fɛns/,,
559,ferry,/ˈfɛri/,,
560,festival,/ˈfɛstɪvəl/,,
561,fever,/ˈfivər/,,
562,few,/fju/,,
563,field,/fild/,,
564,"fight (fought, fought)",/faɪt/,,
565,figure,/ˈfɪgjər/,,
566,fill,/fɪl/,,
567,film,/fɪlm/,,
568,final,/ˈfaɪnəl/,,
569,finally,/ˈfaɪnəli/,,
570,"find (found, found)",/faɪnd/,,
571,fine,/faɪn/,,
572,finger,/ˈfɪŋgər/,,
573,finish,/ˈfɪnɪʃ/,,
574,fire,/faɪər/,,
575,fireman,/ˈfaɪrmən/,,
576,firework,/ˈfaɪrˌwərk/,,
577,first,/fərst/,,
578,fish,/fɪʃ/,,
579,fisherman,/ˈfɪʃərˌmæn/,,
580,"fit (fit, fit；fitted, fitted)",/fɪt/,,
581,fix,/fɪks/,,
582,flash,/flæʃ/,,
583,flag,/flæg/,,
584,flat,/flæt/,,
585,flight,/flaɪt/,,
586,flood,/fləd/,,
587,floor,/flɔr/,,
588,flower,/flaʊər/,,
589,flu,/flu/,,
590,"fly (flew, flown)",/flaɪ/,,
591,focus,/ˈfoʊkɪs/,,
592,follow,/ˈfɑloʊ/,,
593,following,/ˈfɑloʊɪŋ/,,
594,fond,/fɑnd/,,
595,food,/fud/,,
596,fool,/ful/,,
597,foolish,/ˈfulɪʃ/,,
598,foot (复 feet),/fʊt/,,
599,football,/ˈfʊtˌbɔl/,,
600,for,/fər/,,
601,forecast,/ˈfɔrˌkæst/,,
602,foreign,/ˈfɔrən/,,
603,foreigner,/ˈfɔrənər/,,
604,forest,/ˈfɔrɪst/,,
605,forever,/fərˈɛvər/,,
606,"forget (forgot, forgotten)",/fərˈgɛt/,,
607,forgetful,/fərˈgɛtfəl/,,
608,forgive,/fərˈgɪv/,,
609,fork,/fɔrk/,,
610,form,/fɔrm/,,
611,forward,/ˈfɔrwərd/,,
612,fountain,/ˈfaʊntən/,,
613,free,/fri/,,
614,freedom,/ˈfridəm/,,
615,"freeze (froze, frozen)",/friz/,,
616,freezing,/ˈfrizɪŋ/,,
617,fresh,/frɛʃ/,,
618,fridge,/frɪʤ/,,
619,fried,/frid/,,
620,friend,/frɛnd/,,
621,friendly,/ˈfrɛndli/,,
622,friendship,/ˈfrɛndʃɪp/,,
623,frighten,/ˈfraɪtən/,,
624,frightened,/ˈfraɪtənd/,,
625,frightening,/ˈfraɪtənɪŋ/,,
626,from,/frəm/,,
627,front,/frənt/,,
628,frozen,/ˈfroʊzən/,,
629,fruit,/frut/,,
630,fuel,/fjuəl/,,
631,full,/fʊl/,,
632,fun,/fən/,,
633,funny,/ˈfəni/,,
634,furniture,/ˈfərnɪʧər/,,
635,future,/fˈjuʧər/,,
636,gain,/geɪn/,,
637,game,/geɪm/,,
638,garden,/ˈgɑrdən/,,
639,gas,/gæs/,,
640,gate,/geɪt/,,
641,general,/ˈʤɛnərəl/,,
642,generation,/ˌʤɛnərˈeɪʃən/,,
643,generous,/ˈʤɛnərəs/,,
644,gentle,/ˈʤɛnəl/,,
645,gentleman,/ˈʤɛnəlmən/,,
646,gently,/ˈʤɛntli/,,
647,geography,/ʤiˈɑgrəfi/,,
648,"get (got, got)",/gɪt/,,
649,gift,/gɪft/,,
650,girl,/gərl/,,
651,"give (gave, given)",/gɪv/,,
652,glad,/glæd/,,
653,glass,/glæs/,,
654,"go (went, gone)",/goʊ/,,
655,goal,/goʊl/,,
656,gold,/goʊld/,,
657,golden,/ˈgoʊldən/,,
658,good (比较级 better，最高级 best),/gʊd/,,
659,government,/ˈgəvərnmənt/,,
660,grade,/greɪd/,,
661,graduate,/ˈgræʤəˌweɪt/,,
662,grandma=grandmother,/ˈgrændmɑ/ /ˈgrændˌməðər/,,
663,grandpa=grandfather,/ˈgrændˌpɑ/ /ˈgrænˌfɑðər/,,
664,grape,/greɪp/,,
665,grass,/græs/,,
666,great,/greɪt/,,
667,green,/grin/,,
668,greenhouse,/ˈgrinˌhaʊs/,,
669,greet,/grit/,,
670,ground,/graʊnd/,,
671,group,/grup/,,
672,"grow (grew, grown)",/groʊ/,,
673,guess,/gɛs/,,
674,guest,/gɛst/,,
675,guide,/gaɪd/,,
676,guitar,/gɪˈtɑr/,,
677,gun,/gən/,,
678,habit,/ˈhæbət/,,
679,hair,/hɛr/,,
680,half,/hæf/,,
681,hall,/hɔl/,,
682,hamburger,/ˈhæmbərgər/,,
683,hand,/hænd/,,
684,"hang (hanged, hanged)",/hæŋ/,,
685,"(hung, hung)",,,
686,happen,/ˈhæpən/,,
687,happily,/ˈhæpəli/,,
688,happiness,/ˈhæpinəs/,,
689,happy,/ˈhæpi/,,
690,hard,/hɑrd/,,
691,hardly,/ˈhɑrdli/,,
692,hardworking,/ˈhɑrdˌwərkɪŋ/,,
693,harm,/hɑrm/,,
694,harmful,/ˈhɑrmfəl/,,
695,hat,/hæt/,,
696,hate,/heɪt/,,
697,"have (had, had)",/hæv/,,
698,head,/hɛd/,,
699,headache,/ˈhɛˌdeɪk/,,
700,headline,/ˈhɛˌdlaɪn/,,
701,headmaster,/ˈhɛdˈmæstər/,,
702,health,/hɛlθ/,,
703,healthy,/ˈhɛlθi/,,
704,"hear (heard, heard)",/hir/,,
705,heart,/hɑrt/,,
706,heat,/hit/,,
707,heavily,/ˈhɛvəli/,,
708,heavy,/ˈhɛvi/,,
709,height,/haɪt/,,
710,hello,/hɛˈloʊ/,,
711,help,/hɛlp/,,
712,helpful,/ˈhɛlpfəl/,,
713,helpless,/ˈhɛlpləs/,,
714,here,/hir/,,
715,hero,/ˈhɪroʊ/,,
716,hesitate,/ˈhɛzəˌteɪt/,,
717,"hide (hid, hidden)",/haɪd/,,
718,high,/haɪ/,,
719,hill,/hɪl/,,
720,historical,/hɪˈstɔrɪkəl/,,
721,history,/ˈhɪstəri/,,
722,"hit (hit, hit)",/hɪt/,,
723,hobby,/ˈhɑbi/,,
724,"hold (held, held)",/hoʊld/,,
725,hole,/hoʊl/,,
726,holiday,/ˈhɑlɪˌdeɪ/,,
727,home,/hoʊm/,,
728,homeless,/ˈhoʊmləs/,,
729,hometown,/ˈhoʊmˌtaʊn/,,
730,homework,/ˈhoʊmˌwərk/,,
731,honest,/ˈɑnəst/,,
732,honesty,/ˈɑnəsti/,,
733,honey,/ˈhəni/,,
734,honour (美 honor),/ˈɑnər/,,
735,hope,/hoʊp/,,
736,horrible,/ˈhɔrəbəl/,,
737,horse,/hɔrs/,,
738,hospital,/ˈhɑˌspɪtəl/,,
739,host,/hoʊst/,,
740,hot,/hɑt/,,
741,hot-dog,/hɑt/ /dɔg/,,
742,hotel,/hoʊˈtɛl/,,
743,hour,/aʊər/,,
744,house,/haʊs/,,
745,housework,/ˈhaʊsˌwərk/,,
